Neuron1,Neuron2,Type,Nbr
ADAR,ADAL,EJ,1
ADFL,ADAL,EJ,1
ASHL,ADAL,EJ,1
AVDR,ADAL,EJ,2
PVQL,ADAL,EJ,1
ADEL,ADAL,S,1
ADFL,ADAL,S,1
AIAL,ADAL,S,1
ASHL,ADAL,S,1
AWAL,ADAL,S,1
PVPL,ADAL,S,1
PVR,ADAL,S,1
RMGL,ADAL,S,1
ADAL,ADAR,EJ,1
ADFR,ADAR,EJ,1
ASHR,ADAR,EJ,1
AVDL,ADAR,EJ,2
PVQR,ADAR,EJ,1
ADER,ADAR,S,1
ADFR,ADAR,S,1
AIAR,ADAR,S,1
ASHR,ADAR,S,2
RICL,ADAR,S,1
RICR,ADAR,S,1
RIMR,ADAR,S,1
RMGR,ADAR,S,1
URBR,ADAR,S,1
AINL,ADEL,EJ,1
AVKR,ADEL,EJ,1
ADER,ADEL,S,2
ALA,ADEL,S,1
BDUL,ADEL,S,3
FLPL,ADEL,S,2
IL2L,ADEL,S,2
ADEL,ADER,S,1
AVKL,ADER,EJ,1
ALNR,ADER,S,1
AVAR,ADER,S,1
AVM,ADER,S,1
BDUR,ADER,S,1
FLPL,ADER,S,2
FLPR,ADER,S,1
IL2R,ADER,S,1
ADAL,ADFL,EJ,1
ASHL,ADFL,S,3
AWBL,ADFL,S,8
ADAR,ADFR,EJ,1
AIAR,ADFR,EJ,1
AIYR,ADFR,S,1
ASEL,ADFR,S,1
ASHR,ADFR,S,2
AVHL,ADFR,S,3
AWAR,ADFR,S,3
AWBR,ADFR,S,3
PVPR,ADFR,S,1
RIH,ADFR,S,1
ADLR,ADLL,EJ,1
AVDR,ADLL,EJ,1
OLQVL,ADLL,EJ,1
RMGL,ADLL,EJ,1
AVHR,ADLL,S,1
CEPVL,ADLL,S,1
SDQR,ADLL,S,1
ADLL,ADLR,EJ,1
AIAR,ADLR,S,2
AVHR,ADLR,S,2
AFDR,AFDL,EJ,1
AIBL,AFDL,EJ,1
AINR,AFDL,S,3
ASER,AFDL,S,1
AWAL,AFDL,S,4
AFDL,AFDR,EJ,1
AIBR,AFDR,EJ,1
AINL,AFDR,S,3
AINR,AFDR,S,1
ASER,AFDR,S,2
AWAR,AFDR,S,6
RIR,AFDR,S,1
ADLL,AIAL,S,4
AIAR,AIAL,EJ,1
ASIL,AIAL,EJ,2
AWAL,AIAL,EJ,1
AIML,AIAL,S,4
AINR,AIAL,S,2
AIZL,AIAL,S,3
ASEL,AIAL,S,3
ASER,AIAL,S,1
ASGL,AIAL,S,6
ASHL,AIAL,S,5
ASIR,AIAL,S,1
ASKL,AIAL,S,7
AWCL,AIAL,S,2
HSNL,AIAL,S,1
PVQL,AIAL,S,3
ADLR,AIAR,S,8
ADFR,AIAR,EJ,1
AIAL,AIAR,EJ,1
ASIR,AIAR,EJ,2
AWAR,AIAR,EJ,1
AIMR,AIAR,S,5
AIZR,AIAR,S,1
ASER,AIAR,S,2
ASGR,AIAR,S,8
ASHR,AIAR,S,6
ASIR,AIAR,S,2
ASKR,AIAR,S,8
AWCL,AIAR,S,3
AWCR,AIAR,S,1
PVQR,AIAR,S,4
ADAL,AIBL,S,1
ADAR,AIBL,S,1
ADLL,AIBL,S,5
AIAL,AIBL,S,7
AFDL,AIBL,EJ,1
DVC,AIBL,EJ,1
PVT,AIBL,EJ,1
RIGR,AIBL,EJ,3
RIMR,AIBL,EJ,1
RIVL,AIBL,EJ,1
AINR,AIBL,S,2
AIZL,AIBL,S,2
AIZR,AIBL,S,7
ASEL,AIBL,S,6
ASER,AIBL,S,2
ASGL,AIBL,S,3
ASHL,AIBL,S,3
ASIL,AIBL,S,1
ASKL,AIBL,S,2
AWCL,AIBL,S,1
BAGL,AIBL,S,1
DVC,AIBL,S,1
FLPL,AIBL,S,1
HSNR,AIBL,S,1
PVT,AIBL,S,2
RIBR,AIBL,S,1
RIMR,AIBL,S,4
SAADL,AIBL,S,1
SAAVL,AIBL,S,1
SDQR,AIBL,S,2
ADAL,AIBR,S,2
ADAR,AIBR,S,1
ADLL,AIBR,S,1
ADLR,AIBR,S,10
AIAR,AIBR,S,8
AFDR,AIBR,EJ,1
DVC,AIBR,EJ,2
PVT,AIBR,EJ,1
RIGL,AIBR,EJ,3
RIML,AIBR,EJ,1
RIS,AIBR,EJ,1
RIVR,AIBR,EJ,1
AIZL,AIBR,S,6
AIZR,AIBR,S,1
ASEL,AIBR,S,2
ASER,AIBR,S,9
ASGR,AIBR,S,2
ASHR,AIBR,S,2
ASIR,AIBR,S,1
AWBL,AIBR,S,1
AWCL,AIBR,S,1
AWCR,AIBR,S,4
DVC,AIBR,S,3
FLPL,AIBR,S,2
FLPR,AIBR,S,1
HSNR,AIBR,S,1
PVT,AIBR,S,4
RIBL,AIBR,S,2
RMGL,AIBR,S,1
SAADR,AIBR,S,1
SDQL,AIBR,S,1
AIAL,AIML,S,2
SIBDR,AIML,EJ,1
ASKL,AIML,S,2
ASKR,AIMR,S,1
RMGR,AIMR,S,1
ADEL,AINL,EJ,1
AINR,AINL,EJ,2
ASGR,AINL,EJ,1
AUAR,AINL,EJ,1
AFDL,AINR,S,1
AINL,AINR,EJ,2
ASGL,AINR,EJ,1
AUAL,AINR,EJ,1
ASGL,AINR,S,1
AFDL,AIYL,S,7
AIBL,AIYL,S,1
AIYR,AIYL,EJ,1
RIML,AIYL,EJ,1
ASEL,AIYL,S,8
ASER,AIYL,S,2
ASIL,AIYL,S,2
AWAL,AIYL,S,1
AWCL,AIYL,S,7
AWCR,AIYL,S,3
BAGR,AIYL,S,1
ADFR,AIYR,S,1
AFDR,AIYR,S,12
AIYL,AIYR,EJ,1
RIMR,AIYR,EJ,1
ASEL,AIYR,S,5
ASER,AIYR,S,10
ASGR,AIYR,S,1
AUAR,AIYR,S,1
AWAR,AIYR,S,2
AWCR,AIYR,S,6
ADFL,AIZL,S,7
AIAL,AIZL,S,1
AIYL,AIZL,S,10
AIZR,AIZL,EJ,2
ASGL,AIZL,EJ,1
ASHL,AIZL,EJ,1
ASIL,AIZL,S,1
AWAL,AIZL,S,7
AWBL,AIZL,S,6
DVA,AIZL,S,3
HSNL,AIZL,S,2
HSNR,AIZL,S,1
RIH,AIZL,S,4
RIR,AIZL,S,3
ADFR,AIZR,S,5
AIAR,AIZR,S,1
AIYR,AIZR,S,8
AIZL,AIZR,EJ,2
ASGR,AIZR,EJ,1
ASHR,AIZR,EJ,1
AWAR,AIZR,EJ,1
AWAR,AIZR,S,5
AWBR,AIZR,S,3
HSNL,AIZR,S,1
HSNR,AIZR,S,1
RIBR,AIZR,S,1
RIGL,AIZR,S,1
RIH,AIZR,S,4
RIR,AIZR,S,4
ADER,ALA,S,1
ADLL,ALA,S,2
RID,ALA,EJ,1
AIML,ALML,S,1
AVM,ALML,EJ,1
PVR,ALML,EJ,1
RIFL,ALML,S,2
RMGL,ALML,S,1
SDQL,ALML,S,1
AVM,ALMR,EJ,1
BDUR,ALMR,S,1
SMBDR,ALNL,EJ,1
RIGL,ALNL,S,1
RMGL,ALNL,S,1
SAAVL,ALNL,S,1
RIGR,ALNR,S,1
RMGR,ALNR,S,1
AVBL,AQR,EJ,1
AVKL,AQR,EJ,2
AVKR,AQR,EJ,1
PVPL,AQR,EJ,7
PVPR,AQR,EJ,9
RIGL,AQR,EJ,2
RIGR,AQR,EJ,1
AVHR,AQR,S,2
DVA,AQR,S,3
PVCR,AQR,S,1
PVPL,AQR,S,1
PVPR,AQR,S,2
AINL,ASEL,S,2
AINR,ASEL,S,1
AIZL,ASEL,S,1
ASIR,ASEL,S,2
AWAL,ASEL,S,4
AWAR,ASEL,S,1
AWCL,ASEL,S,1
AWCR,ASEL,S,1
ADLL,ASER,S,2
ADLR,ASER,S,1
AFDR,ASER,S,1
AIAL,ASER,S,2
AIAR,ASER,S,1
AIBL,ASER,S,1
AINR,ASER,S,1
ASIL,ASER,S,1
AWAR,ASER,S,2
PVQR,ASER,S,1
AIAL,ASGL,S,1
AIML,ASGL,S,2
AINR,ASGL,EJ,1
AIZL,ASGL,EJ,1
AWAL,ASGL,S,1
AIAR,ASGR,S,1
AIMR,ASGR,S,2
AINL,ASGR,S,1
AINL,ASGR,EJ,1
AIZR,ASGR,EJ,1
AWBR,ASGR,S,1
AWCR,ASGR,S,1
CEPVR,ASGR,S,1
ADLL,ASHL,S,2
AIAL,ASHL,S,1
ADAL,ASHL,EJ,1
AIZL,ASHL,EJ,1
ASHR,ASHL,EJ,1
RICL,ASHL,EJ,2
RMGL,ASHL,EJ,1
HSNL,ASHL,S,1
HSNR,ASHL,S,2
RMGL,ASHL,S,1
URXL,ASHL,S,1
ADFR,ASHR,S,1
ADLR,ASHR,S,2
ADAR,ASHR,EJ,1
AIZR,ASHR,EJ,1
ASHL,ASHR,EJ,1
ASKR,ASHR,EJ,1
RICR,ASHR,EJ,2
RMGR,ASHR,EJ,1
ASIR,ASHR,S,1
AWBR,ASHR,S,2
HSNL,ASHR,S,2
PVPR,ASHR,S,1
RIFR,ASHR,S,2
RMGR,ASHR,S,1
AIAL,ASIL,EJ,2
ASIR,ASIL,EJ,1
AIAR,ASIR,EJ,2
ASIL,ASIR,EJ,1
ASJR,ASJL,EJ,1
AVFR,ASJL,S,1
PVQL,ASJL,S,1
AIMR,ASJR,S,2
ASJL,ASJR,EJ,1
HSNL,ASJR,S,1
AIAL,ASKL,S,2
AIML,ASKL,S,2
ASGL,ASKL,S,1
ASHL,ASKL,S,1
ASIL,ASKL,S,2
ASJL,ASKL,S,4
ASKR,ASKL,EJ,1
PVQL,ASKL,EJ,5
RMGL,ASKL,EJ,1
AVFR,ASKL,S,1
HSNL,ASKL,S,1
PVQL,ASKL,S,4
AIMR,ASKR,S,3
ASJR,ASKR,S,3
ASHR,ASKR,EJ,1
ASKL,ASKR,EJ,1
PVQR,ASKR,EJ,4
RMGR,ASKR,EJ,1
PVQR,ASKR,S,4
ADFL,AUAL,S,4
AINR,AUAL,EJ,1
AUAR,AUAL,EJ,1
AWBL,AUAL,EJ,1
DVA,AUAL,S,1
IL2DL,AUAL,S,1
RIBL,AUAL,S,1
RIR,AUAL,S,1
URXL,AUAL,S,4
ADFR,AUAR,S,4
AINL,AUAR,S,1
AINR,AUAR,S,1
AINL,AUAR,EJ,1
AUAL,AUAR,EJ,1
AWBR,AUAR,EJ,1
AWAR,AUAR,S,1
DVA,AUAR,S,1
RIH,AUAR,S,1
URXR,AUAR,S,3
ADAR,AVAL,S,1
ADEL,AVAL,S,2
ADER,AVAL,S,4
ADLL,AVAL,S,2
AIBL,AVAL,S,2
ALA,AVAL,S,1
AQR,AVAL,S,1
ASHL,AVAL,S,2
AUAL,AVAL,S,2
AVAR,AVAL,EJ,5
AVJL,AVAL,EJ,2
FLPL,AVAL,EJ,1
LUAL,AVAL,EJ,1
PVCL,AVAL,EJ,2
PVCR,AVAL,EJ,5
PVPL,AVAL,EJ,1
RIMR,AVAL,EJ,3
SABD,AVAL,EJ,4
SABVR,AVAL,EJ,1
SDQR,AVAL,EJ,1
URYDL,AVAL,EJ,1
URYVR,AVAL,EJ,1
AVAR,AVAL,S,1
AVBL,AVAL,S,6
AVBR,AVAL,S,5
AVDL,AVAL,S,12
AVDR,AVAL,S,13
AVEL,AVAL,S,10
AVER,AVAL,S,5
AVJR,AVAL,S,1
AWCL,AVAL,S,1
BAGR,AVAL,S,1
BDUR,AVAL,S,3
DVA,AVAL,S,3
DVC,AVAL,S,5
FLPL,AVAL,S,10
FLPR,AVAL,S,10
LUAL,AVAL,S,5
LUAR,AVAL,S,3
PHBL,AVAL,S,9
PHBR,AVAL,S,7
PHCL,AVAL,S,1
PLMR,AVAL,S,3
PQR,AVAL,S,5
PVCL,AVAL,S,1
PVCR,AVAL,S,5
PVDL,AVAL,S,6
PVDR,AVAL,S,6
PVNL,AVAL,S,2
PVNR,AVAL,S,2
PVPL,AVAL,S,1
PVPR,AVAL,S,1
RIBL,AVAL,S,1
RICL,AVAL,S,5
RICR,AVAL,S,5
RIML,AVAL,S,1
RIMR,AVAL,S,2
RMGL,AVAL,S,1
SAADL,AVAL,S,6
SAAVL,AVAL,S,16
SDQL,AVAL,S,1
SDQR,AVAL,S,2
SMBDR,AVAL,S,1
URYVR,AVAL,S,1
ADAL,AVAR,S,2
ADEL,AVAR,S,3
ADER,AVAR,S,1
ADLL,AVAR,S,3
ADLR,AVAR,S,2
AIBR,AVAR,S,1
AQR,AVAR,S,2
ASHR,AVAR,S,4
AUAR,AVAR,S,1
AVAL,AVAR,S,2
AVAL,AVAR,EJ,5
PVCR,AVAR,EJ,3
RIML,AVAR,EJ,2
RIMR,AVAR,EJ,1
SABVL,AVAR,EJ,3
SABVR,AVAR,EJ,1
URYDR,AVAR,EJ,1
URYVL,AVAR,EJ,1
AVBL,AVAR,S,5
AVBR,AVAR,S,5
AVDL,AVAR,S,17
AVDR,AVAR,S,14
AVEL,AVAR,S,4
AVER,AVAR,S,16
AVG,AVAR,S,2
AVJL,AVAR,S,1
AVJR,AVAR,S,1
BAGL,AVAR,S,1
DVA,AVAR,S,1
DVC,AVAR,S,7
FLPL,AVAR,S,17
FLPR,AVAR,S,5
LUAL,AVAR,S,5
LUAR,AVAR,S,7
PHBL,AVAR,S,6
PHBR,AVAR,S,7
PLMR,AVAR,S,1
PQR,AVAR,S,9
PVCL,AVAR,S,4
PVCR,AVAR,S,7
PVDL,AVAR,S,6
PVDR,AVAR,S,9
PVPL,AVAR,S,1
PVPR,AVAR,S,2
PVWR,AVAR,S,1
RIBR,AVAR,S,2
RICL,AVAR,S,6
RICR,AVAR,S,5
RMGR,AVAR,S,1
SAADR,AVAR,S,3
SAAVR,AVAR,S,9
SDQL,AVAR,S,3
SMBDL,AVAR,S,1
ADAL,AVBL,S,4
ADAR,AVBL,S,1
ADLL,AVBL,S,2
ADLR,AVBL,S,1
AIBL,AVBL,S,4
AQR,AVBL,S,2
ASHL,AVBL,S,6
AVAR,AVBL,S,1
AQR,AVBL,EJ,1
AVBR,AVBL,EJ,3
DVA,AVBL,EJ,1
RIBL,AVBL,EJ,1
RIBR,AVBL,EJ,1
RID,AVBL,EJ,1
SDQR,AVBL,EJ,1
SIBVL,AVBL,EJ,1
AVBR,AVBL,S,1
AVDR,AVBL,S,1
AVFL,AVBL,S,1
AVFR,AVBL,S,1
AVG,AVBL,S,1
AVHL,AVBL,S,1
AVHR,AVBL,S,2
AVJL,AVBL,S,1
AVJR,AVBL,S,2
AVKL,AVBL,S,1
AVM,AVBL,S,6
AWBL,AVBL,S,1
DVA,AVBL,S,1
DVC,AVBL,S,1
FLPL,AVBL,S,3
FLPR,AVBL,S,5
PVCL,AVBL,S,5
PVCR,AVBL,S,6
PVNR,AVBL,S,1
PVPL,AVBL,S,3
PVPR,AVBL,S,4
PVQR,AVBL,S,1
PVR,AVBL,S,4
RIFL,AVBL,S,10
RIFR,AVBL,S,1
RIML,AVBL,S,2
RIMR,AVBL,S,2
SDQR,AVBL,S,4
URBL,AVBL,S,1
URXL,AVBL,S,1
URXR,AVBL,S,1
ADAL,AVBR,S,5
ADAR,AVBR,S,5
ADLR,AVBR,S,2
AIBR,AVBR,S,3
AIML,AVBR,S,2
AQR,AVBR,S,4
ASHR,AVBR,S,3
AVAL,AVBR,S,1
AVBL,AVBR,S,1
AVBL,AVBR,EJ,3
DVA,AVBR,EJ,1
PVNL,AVBR,EJ,2
RIBL,AVBR,EJ,1
RIBR,AVBR,EJ,1
RID,AVBR,EJ,2
SIBVL,AVBR,EJ,1
AVFL,AVBR,S,2
AVFR,AVBR,S,3
AVG,AVBR,S,2
AVHL,AVBR,S,1
AVHR,AVBR,S,1
AVJL,AVBR,S,4
AVJR,AVBR,S,1
AVM,AVBR,S,4
AWBR,AVBR,S,2
FLPL,AVBR,S,4
FLPR,AVBR,S,1
PVCL,AVBR,S,11
PVCR,AVBR,S,6
PVNL,AVBR,S,1
PVNR,AVBR,S,2
PVPL,AVBR,S,6
PVPR,AVBR,S,5
PVR,AVBR,S,4
RIBL,AVBR,S,1
RIFL,AVBR,S,1
RIFR,AVBR,S,14
RIML,AVBR,S,3
RIMR,AVBR,S,4
RMGL,AVBR,S,2
RMGR,AVBR,S,1
SDQR,AVBR,S,4
URBR,AVBR,S,1
URXR,AVBR,S,2
URYVL,AVBR,S,1
ADAL,AVDL,S,1
ADLL,AVDL,S,1
ADLR,AVDL,S,4
AIML,AVDL,S,1
AQR,AVDL,S,1
ASHL,AVDL,S,2
ASHR,AVDL,S,4
AVAL,AVDL,S,1
AVAR,AVDL,S,1
AVBL,AVDL,S,1
ADAR,AVDL,EJ,2
AVM,AVDL,EJ,2
FLPL,AVDL,EJ,1
FLPR,AVDL,EJ,1
AVDR,AVDL,S,2
AVHL,AVDL,S,1
AVJL,AVDL,S,1
AVJR,AVDL,S,1
FLPL,AVDL,S,6
FLPR,AVDL,S,8
LUAL,AVDL,S,4
LUAR,AVDL,S,1
PHBL,AVDL,S,1
PHBR,AVDL,S,1
PLMR,AVDL,S,1
PQR,AVDL,S,7
PVCL,AVDL,S,5
PVCR,AVDL,S,5
PVNL,AVDL,S,3
RMGR,AVDL,S,1
ADER,AVDR,S,2
ADLL,AVDR,S,4
ADLR,AVDR,S,2
AIML,AVDR,S,1
AIMR,AVDR,S,1
ALML,AVDR,S,1
AQR,AVDR,S,1
ASHL,AVDR,S,2
ASHR,AVDR,S,1
AUAL,AVDR,S,1
AVAR,AVDR,S,2
AVBL,AVDR,S,2
ADAL,AVDR,EJ,2
ADLL,AVDR,EJ,1
AVJL,AVDR,EJ,2
FLPR,AVDR,EJ,1
AVER,AVDR,S,1
AVG,AVDR,S,1
AVHR,AVDR,S,1
AVJR,AVDR,S,2
FLPL,AVDR,S,13
FLPR,AVDR,S,1
HSNL,AVDR,S,2
HSNR,AVDR,S,1
LUAL,AVDR,S,2
LUAR,AVDR,S,3
PHAL,AVDR,S,1
PHBR,AVDR,S,1
PLMR,AVDR,S,4
PQR,AVDR,S,6
PVCL,AVDR,S,2
PVCR,AVDR,S,1
PVNL,AVDR,S,3
PVNR,AVDR,S,1
PVPL,AVDR,S,2
PVWR,AVDR,S,1
RIBL,AVDR,S,1
ADAL,AVEL,S,1
ADAR,AVEL,S,1
ADEL,AVEL,S,1
AIBR,AVEL,S,1
AIZR,AVEL,S,4
ALA,AVEL,S,2
ALML,AVEL,S,1
AUAL,AVEL,S,3
AVAR,AVEL,S,2
AVBL,AVEL,S,1
AVER,AVEL,EJ,1
RIML,AVEL,EJ,2
RIMR,AVEL,EJ,3
RMDVR,AVEL,EJ,1
RMEV,AVEL,EJ,1
AVG,AVEL,S,1
AVJL,AVEL,S,1
AVKL,AVEL,S,2
AVL,AVEL,S,1
BAGL,AVEL,S,1
BAGR,AVEL,S,2
CEPDR,AVEL,S,6
CEPVR,AVEL,S,4
DVA,AVEL,S,6
FLPR,AVEL,S,4
IL1R,AVEL,S,1
IL2L,AVEL,S,1
OLLR,AVEL,S,15
PVCL,AVEL,S,2
PVCR,AVEL,S,1
PVNL,AVEL,S,1
PVNR,AVEL,S,2
RIBL,AVEL,S,1
RIBR,AVEL,S,2
RIGL,AVEL,S,1
RIS,AVEL,S,7
RMGL,AVEL,S,2
SDQL,AVEL,S,1
URXL,AVEL,S,3
URYDR,AVEL,S,2
URYVR,AVEL,S,6
ADER,AVER,S,1
AIML,AVER,S,1
AIZL,AVER,S,5
AIZR,AVER,S,1
ALA,AVER,S,1
ASHR,AVER,S,3
AUAR,AVER,S,3
AVAR,AVER,S,2
AVBL,AVER,S,2
AVEL,AVER,EJ,1
RIML,AVER,EJ,3
RIMR,AVER,EJ,2
RMDVL,AVER,EJ,1
RMDVR,AVER,EJ,1
RMEV,AVER,EJ,1
AVG,AVER,S,1
AVJR,AVER,S,2
AVKL,AVER,S,1
BAGL,AVER,S,3
CEPDL,AVER,S,4
CEPVL,AVER,S,2
DVA,AVER,S,3
FLPR,AVER,S,2
IL1L,AVER,S,2
IL1R,AVER,S,1
OLLL,AVER,S,18
PVCL,AVER,S,1
PVCR,AVER,S,1
PVPL,AVER,S,1
RIBL,AVER,S,3
RIBR,AVER,S,1
RIGL,AVER,S,1
RIGR,AVER,S,2
RIS,AVER,S,7
RMGR,AVER,S,3
URXR,AVER,S,2
URYDL,AVER,S,2
URYDR,AVER,S,2
URYVL,AVER,S,5
AIML,AVFL,S,3
AIMR,AVFL,S,1
AVFR,AVFL,EJ,23
AVHL,AVFL,EJ,2
AVHR,AVFL,EJ,3
PVQR,AVFL,EJ,1
AVFR,AVFL,S,1
AVG,AVFL,S,1
AVHL,AVFL,S,1
AVHR,AVFL,S,2
HSNL,AVFL,S,5
HSNR,AVFL,S,1
PHAL,AVFL,S,3
PHBR,AVFL,S,1
RIFR,AVFL,S,1
AIML,AVFR,S,1
AIMR,AVFR,S,1
AVFL,AVFR,S,6
AVFL,AVFR,EJ,23
AVHL,AVFR,EJ,2
AVHR,AVFR,EJ,1
AVHL,AVFR,S,3
AVHR,AVFR,S,1
AVJL,AVFR,S,1
AVL,AVFR,S,1
PVNL,AVFR,S,1
PVQR,AVFR,S,1
AVFL,AVG,S,1
RIFL,AVG,EJ,1
RIFR,AVG,EJ,1
PHAL,AVG,S,4
PHAR,AVG,S,2
PQR,AVG,S,1
PVNL,AVG,S,1
AIML,AVHL,S,2
AVAL,AVHL,S,1
AVFL,AVHL,S,2
AVFR,AVHL,S,2
AVFL,AVHL,EJ,2
AVFR,AVHL,EJ,2
AVHR,AVHL,EJ,1
PHBR,AVHL,EJ,1
AVHR,AVHL,S,1
AVJL,AVHL,S,2
BDUL,AVHL,S,1
BDUR,AVHL,S,1
PHAL,AVHL,S,1
PVPR,AVHL,S,3
RIFR,AVHL,S,1
AIML,AVHR,S,1
AVFL,AVHR,S,3
AVFR,AVHR,S,1
AVHL,AVHR,S,1
AVFL,AVHR,EJ,3
AVFR,AVHR,EJ,1
AVHL,AVHR,EJ,1
PHAL,AVHR,S,1
PHAR,AVHR,S,1
PHCR,AVHR,S,1
PVPL,AVHR,S,1
RIFL,AVHR,S,1
ADAR,AVJL,S,2
ADLL,AVJL,S,1
AIML,AVJL,S,1
AQR,AVJL,S,1
AVFL,AVJL,S,1
AVFR,AVJL,S,1
